timestamp,gpu_util_percent,gpu_mem_used_MB,gpu_mem_total_MB,gpu_power_W,gpu_temp_C
2025-07-05 16:20:25,0,15,6141,2.08,38
2025-07-05 16:20:26,0,15,6141,2.09,38
2025-07-05 16:20:27,0,15,6141,2.07,38
2025-07-05 16:20:28,0,15,6141,2.03,38
2025-07-05 16:20:29,0,15,6141,2.03,38
2025-07-05 16:20:30,0,15,6141,2.03,38
2025-07-05 16:20:31,0,15,6141,2.05,38
2025-07-05 16:20:32,0,15,6141,2.05,38
2025-07-05 16:20:33,0,15,6141,2.05,38
2025-07-05 16:20:34,0,15,6141,2.05,38
2025-07-05 16:20:35,0,15,6141,2.04,38
2025-07-05 16:20:36,0,15,6141,2.05,38
2025-07-05 16:20:37,0,15,6141,2.07,38
2025-07-05 16:20:38,0,15,6141,2.09,38
2025-07-05 16:20:39,0,15,6141,2.11,38
2025-07-05 16:20:40,0,15,6141,2.10,38
2025-07-05 16:20:41,0,15,6141,2.08,38
2025-07-05 16:20:42,0,15,6141,2.09,38
2025-07-05 16:20:43,0,15,6141,2.10,38
2025-07-05 16:20:44,0,15,6141,2.10,38
2025-07-05 16:20:45,0,15,6141,2.13,38
2025-07-05 16:20:46,0,15,6141,2.13,38
2025-07-05 16:20:47,0,15,6141,2.09,38
2025-07-05 16:20:48,0,15,6141,2.10,38
2025-07-05 16:20:49,0,15,6141,2.11,38
2025-07-05 16:20:50,0,15,6141,2.12,38
2025-07-05 16:20:51,0,15,6141,2.10,38
2025-07-05 16:20:52,0,15,6141,2.10,38
2025-07-05 16:20:53,0,15,6141,2.14,38
2025-07-05 16:20:54,0,15,6141,2.15,38
2025-07-05 16:20:55,0,15,6141,2.16,38
2025-07-05 16:20:57,0,15,6141,2.18,38
2025-07-05 16:20:58,0,15,6141,2.17,38
2025-07-05 16:20:59,0,15,6141,2.18,38
2025-07-05 16:21:00,0,15,6141,2.20,38
2025-07-05 16:21:01,0,15,6141,2.20,38
2025-07-05 16:21:02,0,15,6141,2.15,38
2025-07-05 16:21:03,0,15,6141,2.09,38
2025-07-05 16:21:04,0,15,6141,2.00,38
2025-07-05 16:21:05,0,15,6141,1.89,38
2025-07-05 16:21:06,0,15,6141,1.85,39
2025-07-05 16:21:07,0,15,6141,1.91,39
2025-07-05 16:21:08,0,15,6141,1.96,39
2025-07-05 16:21:09,0,15,6141,1.93,39
2025-07-05 16:21:10,0,15,6141,1.94,39
2025-07-05 16:21:11,0,15,6141,1.92,39
2025-07-05 16:21:12,0,15,6141,1.89,39
2025-07-05 16:21:13,0,15,6141,1.90,39
2025-07-05 16:21:14,0,15,6141,1.94,40
2025-07-05 16:21:15,0,15,6141,1.94,40
2025-07-05 16:21:16,0,15,6141,1.91,40
2025-07-05 16:21:17,0,15,6141,1.93,40
2025-07-05 16:21:18,0,15,6141,1.93,40
2025-07-05 16:21:19,0,15,6141,1.96,40
2025-07-05 16:21:20,0,15,6141,1.95,40
2025-07-05 16:21:21,0,15,6141,1.92,40
2025-07-05 16:21:22,0,15,6141,1.94,40
2025-07-05 16:21:23,0,15,6141,1.93,40
2025-07-05 16:21:24,0,15,6141,1.91,40
2025-07-05 16:21:25,0,15,6141,1.94,40
2025-07-05 16:21:26,0,15,6141,1.94,40
2025-07-05 16:21:27,0,15,6141,1.95,41
2025-07-05 16:21:28,0,15,6141,1.95,41
2025-07-05 16:21:29,0,15,6141,1.92,41
2025-07-05 16:21:30,0,15,6141,1.90,41
2025-07-05 16:21:31,0,15,6141,1.94,41
2025-07-05 16:21:33,0,15,6141,1.96,41
2025-07-05 16:21:34,0,15,6141,1.96,41
2025-07-05 16:21:35,0,15,6141,1.96,41
2025-07-05 16:21:36,0,15,6141,1.96,41
2025-07-05 16:21:37,0,15,6141,1.98,41
2025-07-05 16:21:38,0,15,6141,1.98,41
2025-07-05 16:21:39,0,15,6141,1.99,41
2025-07-05 16:21:40,0,15,6141,1.99,41
2025-07-05 16:21:41,0,15,6141,1.95,41
2025-07-05 16:21:42,0,15,6141,1.92,41
2025-07-05 16:21:43,0,15,6141,1.92,41
2025-07-05 16:21:44,0,15,6141,1.92,41
2025-07-05 16:21:45,0,15,6141,1.89,42
2025-07-05 16:21:46,0,15,6141,1.87,42
2025-07-05 16:21:47,0,15,6141,1.89,42
2025-07-05 16:21:48,0,15,6141,1.90,42
2025-07-05 16:21:49,0,15,6141,1.89,42
2025-07-05 16:21:50,0,15,6141,1.91,42
2025-07-05 16:21:51,0,15,6141,1.91,42
2025-07-05 16:21:52,0,15,6141,1.89,42
2025-07-05 16:21:53,0,15,6141,1.89,42
2025-07-05 16:21:54,0,15,6141,1.89,42
2025-07-05 16:21:55,0,15,6141,1.89,42
2025-07-05 16:21:56,0,15,6141,1.91,42
2025-07-05 16:21:57,0,15,6141,1.92,42
2025-07-05 16:21:58,0,15,6141,1.91,42
2025-07-05 16:21:59,0,15,6141,1.92,42
2025-07-05 16:22:00,0,15,6141,1.92,42
2025-07-05 16:22:01,0,15,6141,1.90,42
2025-07-05 16:22:02,0,15,6141,1.90,42
2025-07-05 16:22:03,0,15,6141,1.89,42
2025-07-05 16:22:04,0,15,6141,1.89,42
2025-07-05 16:22:05,0,15,6141,1.89,42
2025-07-05 16:22:06,0,15,6141,1.89,42
2025-07-05 16:22:07,0,15,6141,1.89,42
2025-07-05 16:22:08,0,15,6141,1.89,42
2025-07-05 16:22:09,0,15,6141,1.88,42
2025-07-05 16:22:11,0,15,6141,1.90,42
2025-07-05 16:22:12,0,15,6141,1.91,42
2025-07-05 16:22:13,0,15,6141,1.92,42
2025-07-05 16:22:14,0,15,6141,1.93,42
2025-07-05 16:22:15,0,15,6141,1.94,42
2025-07-05 16:22:16,0,15,6141,1.93,42
2025-07-05 16:22:17,0,15,6141,1.94,42
2025-07-05 16:22:18,0,15,6141,1.93,42
2025-07-05 16:22:19,0,15,6141,1.89,42
2025-07-05 16:22:20,0,15,6141,1.87,42
2025-07-05 16:22:21,0,15,6141,1.88,42
2025-07-05 16:22:22,0,15,6141,1.91,42
2025-07-05 16:22:23,0,15,6141,1.89,43
2025-07-05 16:22:24,0,15,6141,1.88,43
2025-07-05 16:22:25,0,15,6141,1.88,43
2025-07-05 16:22:26,0,15,6141,1.89,43
2025-07-05 16:22:27,0,15,6141,1.88,43
2025-07-05 16:22:28,0,15,6141,1.88,43
2025-07-05 16:22:29,0,15,6141,1.90,43
2025-07-05 16:22:30,0,15,6141,1.91,43
2025-07-05 16:22:31,0,15,6141,1.90,43
2025-07-05 16:22:32,0,15,6141,1.89,43
2025-07-05 16:22:33,0,15,6141,1.89,43
2025-07-05 16:22:34,0,15,6141,1.86,43
2025-07-05 16:22:35,0,15,6141,1.85,43
2025-07-05 16:22:36,0,15,6141,1.88,43
2025-07-05 16:22:37,0,15,6141,1.91,43
2025-07-05 16:22:38,0,15,6141,1.91,43
2025-07-05 16:22:39,0,15,6141,1.92,43
2025-07-05 16:22:40,0,15,6141,1.92,43
2025-07-05 16:22:41,0,15,6141,1.91,43
2025-07-05 16:22:42,0,15,6141,1.86,43
2025-07-05 16:22:43,0,15,6141,1.85,43
2025-07-05 16:22:44,0,15,6141,1.85,43
2025-07-05 16:22:45,0,15,6141,1.85,43
2025-07-05 16:22:46,0,15,6141,1.85,43
2025-07-05 16:22:47,0,15,6141,1.86,43
2025-07-05 16:22:49,0,15,6141,1.87,43
2025-07-05 16:22:50,0,15,6141,1.86,43
2025-07-05 16:22:51,0,15,6141,1.85,43
2025-07-05 16:22:52,0,15,6141,1.88,43
2025-07-05 16:22:53,0,15,6141,1.87,43
2025-07-05 16:22:54,0,15,6141,1.85,43
2025-07-05 16:22:55,0,15,6141,1.84,43
2025-07-05 16:22:56,0,15,6141,1.84,43
2025-07-05 16:22:57,0,15,6141,1.86,43
2025-07-05 16:22:58,0,15,6141,1.86,43
2025-07-05 16:22:59,0,15,6141,1.85,43
2025-07-05 16:23:00,0,15,6141,1.87,43
2025-07-05 16:23:01,0,15,6141,1.86,43
2025-07-05 16:23:02,0,15,6141,1.84,43
2025-07-05 16:23:03,0,15,6141,1.85,43
2025-07-05 16:23:04,0,15,6141,1.85,43
2025-07-05 16:23:05,0,15,6141,1.83,43
2025-07-05 16:23:06,0,15,6141,1.82,43
2025-07-05 16:23:07,0,15,6141,1.83,43
2025-07-05 16:23:08,0,15,6141,1.83,43
2025-07-05 16:23:09,0,15,6141,1.84,43
2025-07-05 16:23:10,0,15,6141,1.84,43
2025-07-05 16:23:11,0,15,6141,1.84,43
2025-07-05 16:23:12,0,15,6141,1.82,43
2025-07-05 16:23:13,0,15,6141,1.80,43
2025-07-05 16:23:14,0,15,6141,1.82,43
2025-07-05 16:23:15,0,15,6141,1.83,43
2025-07-05 16:23:16,0,15,6141,1.83,43
2025-07-05 16:23:17,0,15,6141,1.83,43
2025-07-05 16:23:18,0,15,6141,1.81,43
2025-07-05 16:23:19,0,15,6141,1.80,43
2025-07-05 16:23:20,0,15,6141,1.79,43
2025-07-05 16:23:21,0,15,6141,1.80,43
2025-07-05 16:23:22,0,15,6141,1.79,43
2025-07-05 16:23:23,0,15,6141,1.78,43
2025-07-05 16:23:24,0,15,6141,1.77,43
2025-07-05 16:23:25,0,15,6141,1.78,43
2025-07-05 16:23:27,0,15,6141,1.79,43
2025-07-05 16:23:28,0,15,6141,1.77,43
2025-07-05 16:23:29,0,15,6141,1.74,43
2025-07-05 16:23:30,0,15,6141,1.75,43
2025-07-05 16:23:31,0,15,6141,1.75,43
2025-07-05 16:23:32,0,15,6141,1.74,43
2025-07-05 16:23:33,0,15,6141,1.76,43
2025-07-05 16:23:34,0,15,6141,1.76,43
2025-07-05 16:23:35,0,15,6141,1.75,43
2025-07-05 16:23:36,0,15,6141,1.75,43
2025-07-05 16:23:37,0,15,6141,1.76,43
2025-07-05 16:23:38,0,15,6141,1.76,43
2025-07-05 16:23:39,0,15,6141,1.76,43
2025-07-05 16:23:40,0,15,6141,1.75,43
2025-07-05 16:23:41,0,15,6141,1.74,44
2025-07-05 16:23:42,0,15,6141,1.74,44
2025-07-05 16:23:43,0,15,6141,1.74,44
2025-07-05 16:23:44,0,15,6141,1.73,44
2025-07-05 16:23:45,0,15,6141,1.74,44
2025-07-05 16:23:46,0,15,6141,1.75,44
2025-07-05 16:23:47,0,15,6141,1.76,44
2025-07-05 16:23:48,0,15,6141,1.76,44
2025-07-05 16:23:49,0,15,6141,1.76,44
2025-07-05 16:23:50,0,15,6141,1.76,44
2025-07-05 16:23:51,0,15,6141,1.77,44
2025-07-05 16:23:52,0,15,6141,1.76,44
2025-07-05 16:23:53,0,15,6141,1.74,44
2025-07-05 16:23:54,0,15,6141,1.76,44
2025-07-05 16:23:55,0,15,6141,1.77,44
2025-07-05 16:23:56,0,15,6141,1.77,44
2025-07-05 16:23:57,0,15,6141,1.71,44
2025-07-05 16:23:58,0,15,6141,1.71,44
2025-07-05 16:23:59,0,15,6141,1.73,44
2025-07-05 16:24:00,0,15,6141,1.73,44
2025-07-05 16:24:01,0,15,6141,1.74,44
2025-07-05 16:24:02,0,15,6141,1.74,44
2025-07-05 16:24:03,0,15,6141,1.73,44
2025-07-05 16:24:05,0,15,6141,1.72,44
2025-07-05 16:24:06,0,15,6141,1.73,44
2025-07-05 16:24:07,0,15,6141,1.75,44
2025-07-05 16:24:08,0,15,6141,1.73,44
2025-07-05 16:24:09,0,15,6141,1.71,44
2025-07-05 16:24:10,0,15,6141,1.71,44
2025-07-05 16:24:11,0,15,6141,1.72,44
2025-07-05 16:24:12,0,15,6141,1.73,44
2025-07-05 16:24:13,0,15,6141,1.73,44
2025-07-05 16:24:14,0,15,6141,1.71,44
2025-07-05 16:24:15,0,15,6141,1.71,44
2025-07-05 16:24:16,0,15,6141,1.71,44
2025-07-05 16:24:17,0,15,6141,1.71,44
2025-07-05 16:24:18,0,15,6141,1.71,44
2025-07-05 16:24:19,0,15,6141,1.70,44
2025-07-05 16:24:20,0,15,6141,1.70,44
2025-07-05 16:24:21,0,15,6141,1.71,44
2025-07-05 16:24:22,0,15,6141,1.72,44
2025-07-05 16:24:23,0,15,6141,1.71,44
2025-07-05 16:24:24,0,15,6141,1.70,44
2025-07-05 16:24:25,0,15,6141,1.70,44
2025-07-05 16:24:26,0,15,6141,1.70,44
2025-07-05 16:24:27,0,15,6141,1.71,44
2025-07-05 16:24:28,0,15,6141,1.71,44
2025-07-05 16:24:29,0,15,6141,1.72,44
2025-07-05 16:24:30,0,15,6141,1.72,44
2025-07-05 16:24:31,0,15,6141,1.72,44
2025-07-05 16:24:32,0,15,6141,1.72,44
2025-07-05 16:24:33,0,15,6141,1.73,44
2025-07-05 16:24:34,0,15,6141,1.71,44
2025-07-05 16:24:35,0,15,6141,1.70,44
2025-07-05 16:24:36,0,15,6141,1.70,44
2025-07-05 16:24:37,0,15,6141,1.70,44
2025-07-05 16:24:38,0,15,6141,1.70,44
2025-07-05 16:24:39,0,15,6141,1.71,44
2025-07-05 16:24:40,0,15,6141,1.73,44
2025-07-05 16:24:41,0,15,6141,1.72,44
2025-07-05 16:24:43,0,15,6141,1.71,44
2025-07-05 16:24:44,0,15,6141,1.71,44
2025-07-05 16:24:45,0,15,6141,1.72,44
2025-07-05 16:24:46,0,15,6141,1.72,44
2025-07-05 16:24:47,0,15,6141,1.73,44
2025-07-05 16:24:48,0,15,6141,1.74,44
2025-07-05 16:24:49,0,15,6141,1.74,44
2025-07-05 16:24:50,0,15,6141,1.74,44
2025-07-05 16:24:51,0,15,6141,1.74,44
2025-07-05 16:24:52,0,15,6141,1.72,44
2025-07-05 16:24:53,0,15,6141,1.71,44
2025-07-05 16:24:54,0,15,6141,1.70,44
2025-07-05 16:24:55,0,15,6141,1.70,44
2025-07-05 16:24:56,0,15,6141,1.69,44
2025-07-05 16:24:57,0,15,6141,1.68,44
2025-07-05 16:24:58,0,15,6141,1.69,44
2025-07-05 16:24:59,0,15,6141,1.69,44
2025-07-05 16:25:00,0,15,6141,1.69,44
2025-07-05 16:25:01,0,15,6141,1.69,44
2025-07-05 16:25:02,0,15,6141,1.67,44
2025-07-05 16:25:03,0,15,6141,1.67,44
2025-07-05 16:25:04,0,15,6141,1.69,44
2025-07-05 16:25:05,0,15,6141,1.70,44
2025-07-05 16:25:06,0,15,6141,1.70,44
2025-07-05 16:25:07,0,15,6141,1.71,44
2025-07-05 16:25:08,0,15,6141,1.72,44
2025-07-05 16:25:09,0,15,6141,1.73,44
2025-07-05 16:25:10,0,15,6141,1.74,44
2025-07-05 16:25:11,0,15,6141,1.73,44
2025-07-05 16:25:12,0,15,6141,1.73,44
2025-07-05 16:25:13,0,15,6141,1.71,44
2025-07-05 16:25:14,0,15,6141,1.70,44
2025-07-05 16:25:15,0,15,6141,1.71,44
2025-07-05 16:25:16,0,15,6141,1.70,44
2025-07-05 16:25:17,0,15,6141,1.73,44
2025-07-05 16:25:18,0,15,6141,1.75,44
2025-07-05 16:25:19,0,15,6141,1.75,44
2025-07-05 16:25:20,0,15,6141,1.75,44
2025-07-05 16:25:22,0,15,6141,1.74,44
2025-07-05 16:25:23,0,15,6141,1.75,44
2025-07-05 16:25:24,0,15,6141,1.75,44
2025-07-05 16:25:25,0,15,6141,1.75,44
2025-07-05 16:25:26,0,15,6141,1.76,44
2025-07-05 16:25:27,0,15,6141,1.75,44
2025-07-05 16:25:28,0,15,6141,1.74,44
2025-07-05 16:25:29,0,15,6141,1.75,44
2025-07-05 16:25:30,0,15,6141,1.74,44
2025-07-05 16:25:31,0,15,6141,1.76,44
2025-07-05 16:25:32,0,15,6141,1.77,44
2025-07-05 16:25:33,0,15,6141,1.76,44
2025-07-05 16:25:34,0,15,6141,1.76,44
2025-07-05 16:25:35,0,15,6141,1.75,44
2025-07-05 16:25:36,0,15,6141,1.74,44
2025-07-05 16:25:37,0,15,6141,1.72,44
2025-07-05 16:25:38,0,15,6141,1.73,44
2025-07-05 16:25:39,0,15,6141,1.73,44
2025-07-05 16:25:40,0,15,6141,1.74,44
2025-07-05 16:25:41,0,15,6141,1.74,44
2025-07-05 16:25:42,0,15,6141,1.73,44
2025-07-05 16:25:43,0,15,6141,1.75,44
2025-07-05 16:25:44,0,15,6141,1.77,44
2025-07-05 16:25:45,0,15,6141,1.77,44
2025-07-05 16:25:46,0,15,6141,1.77,44
2025-07-05 16:25:47,0,15,6141,1.78,44
2025-07-05 16:25:48,0,15,6141,1.78,44
2025-07-05 16:25:49,0,15,6141,1.78,44
2025-07-05 16:25:50,0,15,6141,1.80,44
2025-07-05 16:25:51,0,15,6141,1.79,44
2025-07-05 16:25:52,0,15,6141,1.78,44
2025-07-05 16:25:53,0,15,6141,1.77,44
2025-07-05 16:25:54,0,15,6141,1.77,44
2025-07-05 16:25:55,0,15,6141,1.78,44
2025-07-05 16:25:56,0,15,6141,1.78,44
2025-07-05 16:25:57,0,15,6141,1.78,44
2025-07-05 16:25:58,0,15,6141,1.79,44
2025-07-05 16:26:00,0,15,6141,1.78,44
2025-07-05 16:26:01,0,15,6141,1.78,44
